Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
ARSUL - Associação de Radioamadores do Sul,Portugal Continental,Estação repetidora de modulação analógica,CQ0UBLA,"430 - 440 MHz
","439,1250 MHz
","431,5250 MHz
",RU730,"131,8 Hz",IM57RE,"37º 10' 20"" ,600 N","08º 33' 41"" ,920 W"
ARSUL - Associação de Radioamadores do Sul,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMAR,"430 - 440 MHz
","438,8250 MHz
","431,2250 MHz
",RU706,"131,8 Hz",IM57QH,"37º 18' 54"" ,700 N","08º 35' 20"" ,100 W"
Associação Amigos da Rádio do Norte,Portugal Continental,Estação repetidora de modulação analógica,CQ0VAL,"144 - 146 MHz
","145,7375 MHz
","145,1375 MHz
",RV59,67 Hz,IN51VT,"41º 48' 47"" ,280 N","08º 11' 39"" ,290 W"
Associação Amigos da Rádio do Norte,Portugal Continental,Estação repetidora de modulação analógica,CQ0VAN,"144 - 146 MHz
","145,7125 MHz
","145,1125 MHz
",RV57,123 Hz,IN61NR,"41º 42' 56"" ,000 N","06º 51' 24"" ,000 W"
Associação de Radioamadores Marienses,R.A. Açores,Estação repetidora de modulação analógica,CQ1VPA,"144 - 146 MHz
","145,6000 MHz
","145,0000 MHz
",RV48,"88,5 Hz",HM76KX,"36º 58' 58"" ,312 N","25º 05' 26"" ,677 W"
Associação de Radioamadores Marienses,R.A. Açores,Estação repetidora de modulação analógica,CQ1UPA,"430 - 440 MHz
","438,6500 MHz
","431,0500 MHz
",RU692,"88,5 Hz",HM76KX,"36º 58' 58"" ,312 N","25º 05' 26"" ,677 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0UES,"430 - 440 MHz
","439,0500 MHz
","431,4500 MHz
",RU724,"114,8 Hz",IN60EH,"40º 19' 17"" ,300 N","07º 36' 51"" ,830 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0VBA,"144 - 146 MHz
","145,7625 MHz
","145,1625 MHz
",RV61,"131,8 Hz",IN51TE,"41º 12' 00"" ,600 N","08º 23' 25"" ,400 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0VMA,"144 - 146 MHz
","145,6500 MHz
","145,0500 MHz
",RV52,123 Hz,IN61BF,"41º 14' 53"" ,560 N","07º 53' 11"" ,360 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0UBA,"430 - 440 MHz
","439,2750 MHz
","431,6750 MHz
",RU742,123 Hz,IN51TE,"41º 12' 00"" ,600 N","08º 23' 25"" ,400 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0USJ,"430 - 440 MHz
","439,1250 MHz
","431,5250 MHz
",RU730,123 Hz,IN51se,"41º 10' 33"" ,200 N","08º 29' 46"" ,900 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0USE,"430 - 440 MHz
","438,8250 MHz
","431,2250 MHz
",RU706,"114,8 Hz",IN60EH,"40º 19' 17"" ,300 N","07º 36' 51"" ,830 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0USDV,"430 - 440 MHz
","438,9000 MHz
","431,3000 MHz
",RU712,"74,4 Hz",IM59IB,"39º 03' 45"" ,000 N","09º 15' 58"" ,000 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMU,"430 - 440 MHz
","438,9750 MHz
","431,3750 MHz
",RU718,"114,8 Hz",IN60AQ,"40º 41' 54"" ,400 N","07º 55' 16"" ,000 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0VAR,"144 - 146 MHz
","145,7250 MHz
","145,1250 MHz
",RV58,"114,8 Hz",IN50TS,"40º 46' 55"" ,550 N","08º 21' 24"" ,900 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSE,"144 - 146 MHz
","145,6000 MHz
","145,0000 MHz
",RV48,"114,8 Hz",IN60EH,"40º 19' 17"" ,300 N","07º 36' 51"" ,830 W"
Associação de Radioamadores da Beira Alta,Portugal Continental,Estação repetidora de modulação analógica,CQ0VCO,"144 - 146 MHz
","145,6875 MHz
","145,0875 MHz
",RV55,123 Hz,IN60BT,"40º 48' 35"" ,550 N","07º 50' 23"" ,350 W"
Associação de Radioamadores da Beira Baixa,Portugal Continental,Estação repetidora de modulação analógica,CQ0UG,"430 - 440 MHz
","439,1000 MHz
","431,5000 MHz
",RU728,"82,5 Hz",IN60FB,"40º 04' 49"" ,580 N","07º 31' 31"" ,900 W"
Associação de Radioamadores da Beira Baixa,Portugal Continental,Estação repetidora de modulação analógica,CQ0VG,"144 - 146 MHz
","145,6375 MHz
","145,0375 MHz
",RV51,"114,8 Hz",IN60FB,"40º 04' 49"" ,580 N","07º 31' 31"" ,900 W"
Associação de Radioamadores da Beira Litoral,Portugal Continental,Estação repetidora de modulação analógica,CQ0URBL,"430 - 440 MHz
","438,8750 MHz
","431,2750 MHz
",RU710,123 Hz,IN50ST,"40º 48' 20"" ,400 N","08º 27' 48"" ,100 W"
Associação de Radioamadores da Beira Litoral,Portugal Continental,Estação repetidora de modulação analógica,CQ0UOAZ,"430 - 440 MHz
","439,4000 MHz
","431,8000 MHz
",RU752,123 Hz,IN50ST,"40º 48' 20"" ,400 N","08º 27' 48"" ,100 W"
Associação de Radioamadores da Costa de Prata,Portugal Continental,Estação repetidora de modulação analógica,CQ0VCP,"144 - 146 MHz
","145,6625 MHz
","145,0625 MHz
",RV53,"82,5 Hz",IN50NE,"40º 11' 31"" ,330 N","08º 50' 27"" ,600 W"
Associação de Radioamadores da Costa de Prata,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCA,"430 - 440 MHz
","438,7000 MHz
","431,1000 MHz
",RU696,"131,8 Hz",IN50TI,"40º 22' 11"" ,046 N","08º 21' 46"" ,839 W"
Associação de Radioamadores da Costa de Prata,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCP,"430 - 440 MHz
","438,9000 MHz
","431,3000 MHz
",RU712,"82,5 Hz",IN50NE,"40º 11' 31"" ,330 N","08º 50' 27"" ,600 W"
