"Canal","Saída","Entrada","Latitude N","Longitude W","Localização","Indicativo","W","Titular","TG Cluster","Color Code","Reports","Health Score","Brand Url","Ações"
"RU656","438.2000","430.6000","39º 40' 19""","08º 45' 29""","Alburitel - Ourém","CQ0DAL","12","ARAL","não tem","1","3","70","https://brandmeister.network/?page=repeaters","ReportarVer Reports"
"RU656","438.2000","430.6000","38º 43' 49""","09º 07' 50""","Penha de França - Lisboa","CQ0DPF*","8","ARRLx","2  268306","2","4","90","https://brandmeister.network/?page=repeaters","ReportarVer Reports"
"RU657","438.2125","430.6125","40º 40' 49""","07º 55' 27""","Abraveses - Viseu","CQ0DAB","25","REP","2  268230","1","0","100","https://brandmeister.network/?page=repeater&id=268230","ReportarVer Reports"
"RU657","438.2125","430.6125","39º 18' 46""","07º 21' 31""","Serra de S.Mamede - Portalegre","CQ0DPG","10","REP","2  268408","1","1","100","https://brandmeister.network/?page=repeater&id=268408","ReportarVer Reports"
"RU658","438.2250","430.6250","41º 16' 08""","08º 05' 51""","Amarante","CQ0DAM","25","ARETD","2  268101","1","1","100","https://brandmeister.network/?page=repeater&id=268101","ReportarVer Reports"
"RU659","438.2375","430.6375","39º 40' 19""","08º 45' 29""","Cabeço da Maúnça - Leiria","CQ0DLIZ","10","ARAL","2  268207","1","0","100","https://brandmeister.network/?page=repeater&id=268207","ReportarVer Reports"
"RU662","438.2750","430.6750","40º 04' 50""","07º 31' 32""","Serra da Gardunha - Castelo Branco","CQ0DUG","10","ARBB","2  268210","1","0","100","https://brandmeister.network/?page=repeater&id=268210","ReportarVer Reports"
"RU662","438.2750","430.6750","38º 53' 35""","09º 06' 39""","Monte Serves - Vialonga","CQ0DMS","25","ARVM","não tem","1","1","100","https://brandmeister.network/?page=repeater&id=268309","ReportarVer Reports"
"RU663","438.2875","430.6875","38º 47' 11""","09º 23' 07""","Santa Eufémia - Serra de Sintra","CQ0DST","25","LARS","2  268310","1","2","100","https://brandmeister.network/?page=repeater&id=268310","ReportarVer Reports"
"RU664","438.3000","430.7000","40º 15' 01""","08º 20' 57""","Serra do Roxo - Coimbra","CQ0DRX","25","ARC","2  268205","1","6","60","https://brandmeister.network/?page=repeater&id=268205","ReportarVer Reports"
"RU664","438.3000","430.7000","38º 34' 33""","28º 42' 49""","Cabeço Gordo - Ilha do Faial","CQ1DCG","15","CRA","não tem","1","0","100","https://brandmeister.network/?page=repeater&id=268603","ReportarVer Reports"
"RU665","438.3125","430.7125","40º 48' 08""","08º 22' 11""","Serra do Arestal - Aveiro","CQ0DTRZ","25","ARETD","2  268201","1","1","100","https://brandmeister.network/?page=repeater&id=268201","ReportarVer Reports"
