"Canal","Saída","Entrada","Latitude N","Longitude W","Localização","Indicativo","W","Titular","Reflector/Modulo","Reports","Health Score","Ações"
"RU656","438.2000","430.6000","39º 05' 10""","09º 16' 34""","Varatojo - Torres Vedras","CQ0DTV","25","ARADO","--","10","60","ReportarVer Reports"
"RU656","438.2000","430.6000","38º 43' 49""","09º 07' 50""","Penha de França - Lisboa","CQ0DPF*","8","ARRLx","XRF268 E","4","90","ReportarVer Reports"
"RU658","438.2250","430.6250","37º 06' 06""","07º 49' 50""","Cerro de São Miguel - Olhão","CQ0DSL","25","RCL","XRF268 E","7","90","ReportarVer Reports"
"RU672","438.4000","430.8000","38º 43' 49""","09º 24' 34""","Alcabideche - Cascais","CQ0DCS","25","ARLC","XRF268 E","8","60","ReportarVer Reports"
"RU674","438.4250","430.8250","39º 32' 58""","08º 52' 02""","Serra dos Candeeiros - Leiria","CQ0DLR","25","ARAL","XRF268 E","2","80","ReportarVer Reports"
"RU677","438.4625","430.8625","38° 53' 52""","09° 11' 35""","Serra do cabeço Montachique Loures","CQ0DMC","25","REP","DCS268E","1","100","ReportarVer Reports"
"RU681","438.5125","430.9125","41º 43' 57""","07º 38' 52""","Serra do Leiranco - Chaves","CQ0DCH","25","ARAT","XRF268 H","2","100","ReportarVer Reports"
"RU681","438.5125","430.9125","40º 40' 49""","07º 55' 28""","Abraveses - Viseu","CQ0DVI","25","REP","XRF268 E","0","100","ReportarVer Reports"
"RU681","438.5125","430.9125","39º 18' 46""","07º 21' 31""","Serra de São Mamede - Portalegre","CQ0DSM","25","REP","XRF268 E","2","100","ReportarVer Reports"
"RU682","438.5250","430.9250","37º 59' 20""","08º 41' 32""","Aldeia de Chãos - Santiago do Cacém","CQ0DCV","15","ARLA","--","2","80","ReportarVer Reports"
"RU689","438.6125","431.0125","38º 29' 33""","08º 57' 43""","Serra da Arrábida - Setúbal","CQ0DSA","10","ARLA","XRF268 E","5","80","ReportarVer Reports"
"RV46","145.5750","144.9750","40º 19' 17""","07º 36' 52""","Torre - Serra da Estrela","CQ0DSE","25","ARBA","--","8","100","ReportarVer Reports"
"RV46","145.5750","144.9750","38º 43' 48""","27º 19' 07""","Santa Bárbara - Ilha Terceira","CQ1DAH","25","URA","XRF268 T","1","90","ReportarVer Reports"
"RV47","145.5875","144.9875","41º 43' 57""","07º 38' 52""","Serra do Leiranco - Chaves","CQ0DCH","25","ARAT","XRF268 E","2","100","ReportarVer Reports"
"Simplex","144.8250","144.8250","40° 39' 39""","7° 54' 34""","Viseu","CS5GVS","20","REP","XRF268 D","1","100","ReportarVer Reports"
"Simplex","144.8375","144.8375","40° 11' 27""","8° 26' 16""","Santa Clara - Coimbra","CS5GVW","25","ARC","XRF268 E","4","60","ReportarVer Reports"
"Simplex","144.8375","144.8375","37° 06' 00""","7° 55' 00""","Guilhim - Faro","CS5GIH","25","RCL","XRF268 E","0","100","ReportarVer Reports"
"Simplex","144.8500","144.8500","38° 38' 60""","27° 13' 00""","Angra do Heroísmo - Ilha Terceira","CS4GDA","15","LART","XRF268 E","0","100","ReportarVer Reports"
"Simplex","144.8625","144.8625","40° 30' 30""","7° 35' 26""","Gouveia","CS5GUH","10","ARBA","XRF268 E","4","100","ReportarVer Reports"
"Simplex","144.8500","144.8500","38° 52´ 16""","07° 14` 55""","Elvas","CS5GUM","15","ARLA","--","9","50","ReportarVer Reports"
